videoName,PhaseName,Start,End
RALIHR_surgeon01_fps01_0001,stationary idle,00:00,00:16
RALIHR_surgeon01_fps01_0001,transitionary idle,00:16,00:35
RALIHR_surgeon01_fps01_0001,out of body,00:35,01:05
RALIHR_surgeon01_fps01_0001,transitionary idle,01:05,01:59
RALIHR_surgeon01_fps01_0001,peritoneal scoring,01:59,02:55
RALIHR_surgeon01_fps01_0001,preperioneal dissection,02:55,06:43
RALIHR_surgeon01_fps01_0001,reduction of hernia,06:43,15:58
RALIHR_surgeon01_fps01_0001,transitionary idle,15:58,16:05
RALIHR_surgeon01_fps01_0001,stationary idle,16:05,17:24
RALIHR_surgeon01_fps01_0001,transitionary idle,17:24,18:20
RALIHR_surgeon01_fps01_0001,blurry,18:20,19:15
RALIHR_surgeon01_fps01_0001,out of body,19:15,20:40
RALIHR_surgeon01_fps01_0001,positioning suture,20:40,21:03
RALIHR_surgeon01_fps01_0001,mesh placement,21:03,23:49
RALIHR_surgeon01_fps01_0001,transitionary idle,23:49,23:54
RALIHR_surgeon01_fps01_0001,positioning suture,23:54,24:07
RALIHR_surgeon01_fps01_0001,peritoneal closure,24:07,24:14
RALIHR_surgeon01_fps01_0001,transitionary idle,24:14,24:21
RALIHR_surgeon01_fps01_0001,positioning suture,24:21,25:02
RALIHR_surgeon01_fps01_0001,transitionary idle,25:02,25:05
RALIHR_surgeon01_fps01_0001,peritoneal closure,25:05,31:37
RALIHR_surgeon01_fps01_0001,transitionary idle,31:37,32:45
RALIHR_surgeon01_fps01_0001,out of body,32:45,32:47
RALIHR_surgeon01_fps01_0002,stationary idle,00:00,00:16
RALIHR_surgeon01_fps01_0002,transitionary idle,00:16,01:09
RALIHR_surgeon01_fps01_0002,peritoneal scoring,01:09,01:26
RALIHR_surgeon01_fps01_0002,preperioneal dissection,01:26,03:20
RALIHR_surgeon01_fps01_0002,reduction of hernia,03:20,11:46
RALIHR_surgeon01_fps01_0002,transitionary idle,11:46,12:02
RALIHR_surgeon01_fps01_0002,peritoneal scoring,12:02,12:13
RALIHR_surgeon01_fps01_0002,preperioneal dissection,12:13,16:20
RALIHR_surgeon01_fps01_0002,reduction of hernia,16:20,19:46
RALIHR_surgeon01_fps01_0002,transitionary idle,19:46,19:50
RALIHR_surgeon01_fps01_0002,out of body,19:50,19:54
RALIHR_surgeon01_fps01_0002,transitionary idle,19:54,20:15
RALIHR_surgeon01_fps01_0002,stationary idle,20:15,20:38
RALIHR_surgeon01_fps01_0002,transitionary idle,20:38,20:39
RALIHR_surgeon01_fps01_0002,stationary idle,20:39,23:21
RALIHR_surgeon01_fps01_0002,transitionary idle,23:21,23:43
RALIHR_surgeon01_fps01_0002,mesh positioning,23:43,24:04
RALIHR_surgeon01_fps01_0002,transitionary idle,24:04,24:30
RALIHR_surgeon01_fps01_0002,mesh positioning,24:30,25:05
RALIHR_surgeon01_fps01_0002,transitionary idle,25:05,25:15
RALIHR_surgeon01_fps01_0002,positioning suture,25:15,27:38
RALIHR_surgeon01_fps01_0002,transitionary idle,27:38,27:53
RALIHR_surgeon01_fps01_0002,mesh placement,27:53,37:15
RALIHR_surgeon01_fps01_0002,transitionary idle,37:15,37:19
RALIHR_surgeon01_fps01_0002,positioning suture,37:19,37:48
RALIHR_surgeon01_fps01_0002,primary hernia repair,37:48,40:15
RALIHR_surgeon01_fps01_0002,positioning suture,40:15,40:33
RALIHR_surgeon01_fps01_0002,transitionary idle,40:33,40:44
RALIHR_surgeon01_fps01_0002,mesh placement,40:44,41:34
RALIHR_surgeon01_fps01_0002,transitionary idle,41:34,42:32
RALIHR_surgeon01_fps01_0002,catheter insertion,42:32,43:14
RALIHR_surgeon01_fps01_0002,transitionary idle,43:14,43:19
RALIHR_surgeon01_fps01_0002,positioning suture,43:19,43:27
RALIHR_surgeon01_fps01_0002,peritoneal closure,43:27,47:02
RALIHR_surgeon01_fps01_0002,positioning suture,47:02,47:38
RALIHR_surgeon01_fps01_0002,peritoneal closure,47:38,51:19
RALIHR_surgeon01_fps01_0002,positioning suture,51:19,52:37
RALIHR_surgeon01_fps01_0002,transitionary idle,52:37,53:07
RALIHR_surgeon01_fps01_0002,out of body,53:07,53:18
RALIHR_surgeon01_fps01_0003,transitionary idle,00:00,00:04
RALIHR_surgeon01_fps01_0003,positioning suture,00:04,00:46
RALIHR_surgeon01_fps01_0003,transitionary idle,00:46,00:55
RALIHR_surgeon01_fps01_0003,mesh positioning,00:55,01:28
RALIHR_surgeon01_fps01_0003,peritoneal scoring,01:28,02:20
RALIHR_surgeon01_fps01_0003,preperioneal dissection,02:20,04:42
RALIHR_surgeon01_fps01_0003,reduction of hernia,04:42,09:14
RALIHR_surgeon01_fps01_0003,transitionary idle,09:14,09:20
RALIHR_surgeon01_fps01_0003,mesh placement,09:20,09:47
RALIHR_surgeon01_fps01_0003,transitionary idle,09:47,10:01
RALIHR_surgeon01_fps01_0003,peritoneal scoring,10:01,10:45
RALIHR_surgeon01_fps01_0003,preperioneal dissection,10:45,13:49
RALIHR_surgeon01_fps01_0003,reduction of hernia,13:49,16:12
RALIHR_surgeon01_fps01_0003,transitionary idle,16:12,16:15
RALIHR_surgeon01_fps01_0003,mesh placement,16:15,20:20
RALIHR_surgeon01_fps01_0003,transitionary idle,20:20,20:26
RALIHR_surgeon01_fps01_0003,mesh placement,20:26,23:16
RALIHR_surgeon01_fps01_0003,transitionary idle,23:16,23:27
RALIHR_surgeon01_fps01_0003,positioning suture,23:27,23:39
RALIHR_surgeon01_fps01_0003,peritoneal closure,23:39,23:59
RALIHR_surgeon01_fps01_0003,transitionary idle,23:59,24:18
RALIHR_surgeon01_fps01_0003,catheter insertion,24:18,25:03
RALIHR_surgeon01_fps01_0003,transitionary idle,25:03,25:28
RALIHR_surgeon01_fps01_0003,positioning suture,25:28,25:29
RALIHR_surgeon01_fps01_0003,peritoneal closure,25:29,25:40
RALIHR_surgeon01_fps01_0004,mesh placement,00:00,01:14
RALIHR_surgeon01_fps01_0004,transitionary idle,01:14,01:24
RALIHR_surgeon01_fps01_0004,positioning suture,01:24,01:32
RALIHR_surgeon01_fps01_0004,transitionary idle,01:32,01:40
RALIHR_surgeon01_fps01_0004,stationary idle,01:40,01:59
RALIHR_surgeon01_fps01_0004,transitionary idle,01:59,02:42
RALIHR_surgeon01_fps01_0004,catheter insertion,02:42,03:35
RALIHR_surgeon01_fps01_0004,transitionary idle,03:35,03:44
RALIHR_surgeon01_fps01_0004,positioning suture,03:44,03:52
RALIHR_surgeon01_fps01_0004,peritoneal closure,03:52,08:43
RALIHR_surgeon01_fps01_0004,positioning suture,08:43,09:39
RALIHR_surgeon01_fps01_0004,stationary idle,09:39,09:59
RALIHR_surgeon01_fps01_0005,transitionary idle,00:00,00:20
RALIHR_surgeon01_fps01_0005,peritoneal scoring,00:20,01:09
RALIHR_surgeon01_fps01_0005,preperioneal dissection,01:09,04:37
RALIHR_surgeon01_fps01_0005,reduction of hernia,04:37,09:04
RALIHR_surgeon01_fps01_0005,transitionary idle,09:04,09:18
RALIHR_surgeon01_fps01_0005,peritoneal scoring,09:18,09:52
RALIHR_surgeon01_fps01_0005,preperioneal dissection,09:52,16:39
RALIHR_surgeon01_fps01_0005,reduction of hernia,16:39,18:09
RALIHR_surgeon01_fps01_0005,transitionary idle,18:09,18:19
RALIHR_surgeon01_fps01_0005,reduction of hernia,18:19,23:07
RALIHR_surgeon01_fps01_0005,transitionary idle,23:07,23:20
RALIHR_surgeon01_fps01_0005,mesh positioning,23:20,23:48
RALIHR_surgeon01_fps01_0005,transitionary idle,23:48,23:57
RALIHR_surgeon01_fps01_0005,stationary idle,23:57,24:05
